date,max_temp,min_temp
2026-03-14,32.4,19.4
2026-03-15,32.0,19.3
2026-03-16,31.0,19.1
2026-03-17,30.8,19.3
2026-03-18,30.2,18.1
2026-03-19,30.4,17.0
2026-03-20,30.6,18.9
2026-03-21,31.2,20.8
